"Name","2019 Population","2018 Population","Change"
"Tokyo",37468302,37397437,0.0018949159537322569
"Delhi",28513682,27602257,0.033019944709593796
"Shanghai",25582138,24862075,0.02896230503688857
"Sao Paulo",21650181,21391624,0.012086833613006664
"Mexico City",21580827,21500251,0.0037476771782802842
"Cairo",20076002,19648312,0.021767264282041232
"Mumbai",19979955,19756049,0.011333541438371508
"Beijing",19617963,19210643,0.02120283011870039
"Dhaka",19578421,18894385,0.03620313654030016
"Osaka",19281188,19289029,-0.0004065005034726843
"Karachi",15400223,15020931,0.025250898229943308
"Buenos Aires",14966530,14879100,0.005876027447896615
"Chongqing",14837823,14332185,0.03527989626145622
"Istanbul",14750771,14539767,0.014512199542124682
"Kolkata",14680613,14594123,0.005926358164858536
"Manila",13482468,13271721,0.01587940252812725
"Lagos",13463421,13042316,0.03228759370651657
"Rio De Janeiro",13293172,13174768,0.00898717912907454
"Tianjin",13214790,13040664,0.013352540944234104
"Guangzhou",12638305,12315664,0.026197613056023528
"Moscow",12409738,12288465,0.009868848550246057
"Shenzhen",11907836,11693175,0.018357802735356366
"Lahore",11738186,11263275,0.042164556933929065
"Bangalore",11440030,10989540,0.040992616615436184
"Paris",10900952,10844847,0.005173424761087064
"Bogota",10574409,10277518,0.028887422041002475
"Jakarta",10516927,10401144,0.011131756276040461
"Chennai",10455606,10189373,0.02612849681722329
"Lima",10390607,10194477,0.01923884864324088
"Bangkok",10156316,9898653,0.026030107328744556
"Seoul",9963497,9941235,0.0022393595966698765
"Hyderabad",9481623,9212575,0.029204429814682742
"London",9046485,8916251,0.014606363145227785
"Tehran",8895947,8780950,0.013096191186602768
"Chengdu",8813478,8659748,0.01775224867975367
"Wuhan",8175602,8089924,0.01059070517844174
"Ahmedabad",7680935,7485453,0.026114919163876982
"Kuala Lumpur",7563912,7318545,0.03352674609502304
"Riyadh",6906595,6669098,0.035611562463169655
"Santiago",6680371,6627552,0.007969609291635926
"Surat",6563585,6251420,0.04993505475555948
"Madrid",6497124,6403902,0.01455706224111486
"Pune",6275748,6093800,0.029857888345531602
"Toronto",6082425,6009852,0.012075671746991423
"Dar Es Salaam",6047600,5719486,0.05736774248595067
"Barcelona",5494125,5420748,0.013536323769339553
"Johannesburg",5485986,5313563,0.03244960114333839
"St Petersburg",5383068,5315040,0.012799151088232597
"Yangon",5157461,5053341,0.020604190376228404
"Alexandria",5086240,4985290,0.02024957424743601
"Guadalajara",5022674,4946037,0.015494627314757148
"Ankara",4919074,4821946,0.02014290495994775
"Sydney",4792281,4708150,0.017869226766352053
"Melbourne",4770894,4654419,0.025024605648954257
"Brasilia",4469585,4366901,0.02351415798068235
"Cape Town",4430367,4317505,0.026140560346774366
"Nairobi",4385853,4222389,0.038713628706402936
"Rome",4209710,4177286,0.007761977513629725
"Montreal",4171716,4137573,0.00825193899902188
"Tel Aviv",4010977,3905583,0.0269854718232847
"Medellin",3933652,3866383,0.01739843155734966
"Jaipur",3716538,3617097,0.02749193621293533
"Casablanca",3683566,3653152,0.008325413232189716
"Berlin",3552123,3539234,0.0036417484687365498
"Lucknow",3504506,3415661,0.026011070770781908
"Busan",3466898,3460068,0.0019739496449202587
"Athens",3155600,3157451,-0.0005862323754193266
"Milan",3132060,3122462,0.003073856463265301
"Kanpur",3080571,3058239,0.007302241584127289
"Lisbon",2927316,2912590,0.005055981102729978
"Abuja",2918518,2750037,0.06126499388917317
"Surabaya",2902504,2885369,0.005938581859027403
"Dubai",2785376,2650883,0.05073517013010376
"Cali",2725931,2674143,0.019366204425118605
"Manchester",2690445,2671130,0.007231022076799043
"Vancouver",2530746,2499092,0.012666200363972147
"Accra",2439389,2388388,0.02135373314553579
"Beirut",2385271,2331897,0.022888661034342395
"Pretoria",2378350,2274876,0.04548555613580696
"Brisbane",2338120,2295608,0.01851884119588365
"Bhopal",2277592,2219768,0.0260495691441629
"Havana",2136468,2132206,0.0019988687772194424
"Hiroshima",2095219,2095775,-0.0002652956543521823
"Tijuana",2058213,2017580,0.020139474023334936
"Brussels",2049510,2033713,0.007767566023327843
"Perth",1990745,1958044,0.016700850440541704
"Mecca",1967094,1908271,0.030825286345597558
"Phnom Penh",1952329,1892615,0.0315510550217557
"Vienna",1900547,1878456,0.011760190283935268
"Bucharest",1821380,1830515,-0.004990398876818847
"Hamburg",1792904,1790701,0.001230244468507058
"Panama City",1783490,1745913,0.02152283647581532
"Warsaw",1767798,1758551,0.005258306412495362
"Budapest",1759497,1754955,0.0025881005495866916
"Aleppo",1753516,1675000,0.04687522388059695
"Lyon",1690105,1675489,0.008723423430413435
"Glasgow",1660581,1654908,0.003427985120622923
"Marseille",1599198,1595267,0.002464164306037908
"Stockholm",1582968,1553180,0.019178717212428698
"Sharjah",1570849,1465203,0.07210331947177284
"Auckland",1556875,1525666,0.020455984468422228
"Munich",1503708,1482117,0.014567675831260285
"Calgary",1476598,1436773,0.027718366088449686
"Abu Dhabi",1419699,1343353,0.05683241858245758
"Edmonton",1397424,1361413,0.026451194457523197
"Belgrade",1389351,1382669,0.0048326822977877715
"Zurich",1370779,1356037,0.010871384777848991
